log_raised_by_quarter,tokenforsale_dummy,kyc_dummy,whitelist_dummy,presale_raised_dummy,ethereum,whitelist_dummy,ind_entertainment,ind_business_services,ind_blockchain,ind_other_software,ind_finance,presale_dummy,presale_raised_dummy,percent_forsale,percent_forsale_ifpresent,percent_forsale_dummy,listing_dummy
22.41159,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0
20.89957,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0
22.27552,1,1,0,0,1,0,0,0,0,1,0,1,0,0.5454384,0.5454384,1,0
22.41159,1,1,1,0,0,1,0,0,0,0,1,1,0,0.7,0.7,1,0
20.89957,1,1,1,0,0,1,0,0,0,0,0,1,0,0.66,0.66,1,0
22.41159,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0
22.06915,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0
22.53391,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
22.06915,1,0,1,0,1,1,0,0,0,0,0,0,0,0.196,0.196,1,0
22.41159,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
22.39378,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6000003,0.6000003,1,0
22.41159,1,1,0,0,1,0,0,1,0,0,0,0,0,0.62,0.62,1,0
18.86238,1,1,0,0,0,0,0,0,0,0,0,1,0,0.64,0.64,1,0
22.41159,1,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0
20.89957,1,0,0,0,1,0,1,0,0,0,0,1,0,0.5,0.5,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
22.53391,1,0,0,0,1,0,0,0,0,0,1,1,0,,0,0,0
22.27552,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
20.89957,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,1,0
22.53391,1,1,1,0,1,1,0,0,0,0,1,0,0,,0,0,0
21.53017,1,0,0,0,1,0,0,0,0,0,0,1,0,0.15,0.15,1,0
22.06915,1,1,0,0,1,0,0,1,0,0,0,0,0,0.7,0.7,1,0
20.89957,1,0,1,0,1,1,0,1,0,0,0,1,0,0.69,0.69,1,0
22.06915,1,1,0,0,0,0,0,1,0,0,0,1,0,0.5,0.5,1,0
22.41159,1,0,0,0,1,0,0,0,0,0,1,0,0,0.75,0.75,1,0
21.53017,1,0,0,1,0,0,0,0,0,0,0,0,1,0.35,0.35,1,0
22.53391,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0
22.53391,1,1,1,0,1,1,0,1,0,0,0,1,0,0.4,0.4,1,0
19.63956,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
20.89957,1,1,1,0,1,1,0,0,0,0,0,0,0,0.6000014,0.6000014,1,0
22.06915,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0
22.06915,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0
20.89957,1,0,0,0,1,0,0,1,0,0,0,1,0,0.8,0.8,1,0
22.53391,1,0,0,0,1,0,0,0,0,1,0,1,0,0.24,0.24,1,0
18.90116,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.6,1,0
22.06915,1,1,0,0,1,0,0,1,0,0,0,1,0,0.4,0.4,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,1,0,0.2,0.2,1,0
21.72063,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0
20.89957,1,1,1,0,1,1,0,1,0,0,0,1,0,0.6,0.6,1,0
20.89957,1,1,1,0,1,1,0,1,0,0,0,0,0,0.55,0.55,1,0
19.63956,1,1,1,0,1,1,0,1,0,0,0,0,0,0.15,0.15,1,0
21.72063,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0
19.63956,1,0,1,0,1,1,0,0,0,0,0,1,0,0.53,0.53,1,0
21.72063,1,0,0,0,0,0,1,0,0,0,0,1,0,0.49,0.49,1,0
20.89957,1,0,1,1,1,1,0,0,0,0,0,0,1,0.4,0.4,1,0
22.53391,1,1,1,0,1,1,0,0,0,0,0,0,0,0.77,0.77,1,0
22.53391,1,1,1,0,1,1,0,1,0,0,0,0,0,0.8,0.8,1,0
19.63956,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,1,0,0,0.8,0.8,1,0
22.41159,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,0,0
